fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
50.3,550,209,0,813,708,0,0,0
29.3,550,248,813,0,708,0,0,0
30.6,550,248,610,203,708,0,0,0
35.7,550,248,407,406,708,0,0,0
48.4,550,248,203,610,708,0,0,0
45.9,550,248,0,813,708,0,0,0
72.3,418,158.4,965,0,860,0,22,6.5
58.5,418,158.4,868.5,40.3,860,0,22,6.5
56,418,158.4,868.5,56.6,860,0,22,6.5
50.1,418,158.4,820.3,76.3,860,0,22,6.5
32.2,418,158.4,723.7,116.5,860,0,22,6.5
58.2,385,165,763,0,895,0,165,4.04
57.3,385,165,763,0,448,448,165,4.04
52,350,200,829,0,0,829,200,3.68
64,477,164,736.2,0,798,0,113,0
51.5,449,164,797.5,0,558,240,137,2.93
49,419,164,841.1,0,320,478,160,5.79
40.5,391,164,936.2,0,798,0,185,8.64
53.2,395,176,936.2,0,558,240,151,0
48,366,176,841.1,0,798,0,173,2.7
46.2,449,176,797.5,0,0,798,106,5.55
43.2,421,176,736.2,0,320,478,128,8.24
56,335,193,797.5,0,320,478,158,0
44.7,361,193,736.2,0,798,0,138,2.5
38.5,386,193,936.2,0,0,798,117,5.03
41.8,409,193,841.1,0,558,240,97,7.59
29.6,349,210,841.1,0,0,798,106,0
41.8,372,210,936.2,0,320,478,88,2.3
36.5,305,210,736.2,0,558,240,144,4.5
33.4,326,210,797.5,0,798,0,125,6.8
42.9,270,187,698,0,787,0,306,3
38.9,270,187,523,167,591,193,306,3
37,270,187,349,333,394,385,306,3
34,270,187,698,0,0,770,306,3
29.1,270,187,0,667,787,0,306,3
78.7,437,188,695,0,787,0,177,4
77.6,437,188,521,156,591,184,177,4
75.6,437,188,347,312,394,369,177,4
74.2,437,188,695,0,0,737,177,4
69.3,437,188,0,624,787,0,177,4
31.6,449,189,435,435,435,435,449,4.04
29.7,426,189,435,435,435,435,449,3.83
24.2,404,189,435,435,435,435,449,3.64
23.3,381,189,435,435,435,435,449,3.43
